0.0,1.0
60.0,1.0
65.0,2.0
90.0,2.0
95.0,1.0
120.0,1.0
125.0,2.0
150.0,2.0
155.0,3.0
180.0,3.0
185.0,1.0
210.0,1.0
215.0,2.0
270.0,2.0
275.0,3.0
300.0,3.0
305.0,2.0
330.0,2.0
335.0,1.0
360.0,1.0
365.0,3.0
390.0,3.0
395.0,4.0
450.0,4.0
455.0,1.0
480.0,1.0
485.0,4.0
510.0,4.0
515.0,2.0
540.0,2.0
545.0,1.0
630.0,1.0
635.0,4.0
660.0,4.0
665.0,3.0
690.0,3.0
695.0,2.0
720.0,2.0
725.0,4.0
750.0,4.0
755.0,1.0
780.0,1.0
785.0,3.0
870.0,3.0
875.0,1.0
900.0,1.0
905.0,3.0
960.0,3.0
965.0,4.0
1020.0,4.0
1025.0,1.0
1080.0,1.0
1085.0,4.0
1110.0,4.0
1115.0,1.0
1140.0,1.0
1145.0,2.0
1170.0,2.0
1175.0,3.0
1200.0,3.0
1205.0,2.0
1230.0,2.0
1235.0,1.0
1260.0,1.0
1265.0,4.0
1320.0,4.0
1325.0,3.0
1350.0,3.0
1355.0,2.0
1380.0,2.0
1385.0,1.0
1440.0,1.0
1445.0,3.0
1470.0,3.0
1475.0,4.0
1530.0,4.0
1535.0,2.0
1560.0,2.0
1565.0,1.0
